,number,name,position,birthday,age,height,foot,joined,contract,value,squad, twitter,first_name,last_name
157,11.0,Bryan Linssen,Centre-Forward,"Oct 8, 1990",31,170,right,"Jul 6, 2020","Jun 30, 2023",2200000.0,Feyenoord, -,Bryan,Linssen
158,34.0,Michael Verrips,Goalkeeper,"Dec 3, 1996",25,196,right,"Jan 11, 2022","Jun 30, 2022",900000.0,Fortuna Sittard, -,Michael,Verrips
159,1.0,Yanick van Osch,Goalkeeper,"Mar 24, 1997",24,183,right,"Jul 1, 2020","Jun 30, 2023",650000.0,Fortuna Sittard, -,Yanick,van Osch
160,32.0,Felix Dornebusch,Goalkeeper,"Jul 12, 1994",27,193,right,"Jul 1, 2021","Jun 30, 2022",225000.0,Fortuna Sittard, -,Felix,Dornebusch
161,41.0,Tom Hendriks,Goalkeeper,"May 14, 2002",19,186,,"Jul 1, 2021","Jun 30, 2022",50000.0,Fortuna Sittard, -,Tom,Hendriks
162,33.0,Dimitrios Siovas,Centre-Back,"Sep 16, 1988",33,191,left,"Jan 31, 2022","Jun 30, 2022",1500000.0,Fortuna Sittard, -,Dimitrios,Siovas
163,2.0,Martin Angha,Centre-Back,"Jan 22, 1994",28,188,both,"Aug 26, 2019","Jun 30, 2022",700000.0,Fortuna Sittard, @MartinYAngha,Martin,Angha
164,4.0,Roel Janssen,Centre-Back,"Jun 16, 1990",31,179,left,"Jul 1, 2020","Jun 30, 2023",300000.0,Fortuna Sittard, -,Roel,Janssen
165,18.0,Nigel Lonwijk,Centre-Back,"Oct 27, 2002",19,190,right,"Aug 31, 2021","Jun 30, 2022",300000.0,Fortuna Sittard, @NLonwijk,Nigel,Lonwijk
166,35.0,George Cox,Left-Back,"Jan 14, 1998",24,171,left,"Jul 6, 2020","Jun 30, 2023",1000000.0,Fortuna Sittard, -,George,Cox
167,27.0,Ronan Pluijmen,Left-Back,"Jun 26, 2003",18,173,left,"Jul 1, 2021",-,50000.0,Fortuna Sittard, -,Ronan,Pluijmen
168,25.0,Mickaël Tirpan,Right-Back,"Oct 23, 1993",28,177,right,"Aug 27, 2021","Jun 30, 2024",800000.0,Fortuna Sittard, @MickaelTirpan,Mickaël,Tirpan
169,12.0,Ivo Pinto,Right-Back,"Jan 7, 1990",32,182,right,"Aug 26, 2021","Jun 30, 2022",600000.0,Fortuna Sittard, @ivopinto6,Ivo,Pinto
170,22.0,Andreas Samaris,Defensive Midfield,"Jun 13, 1989",32,189,right,"Nov 19, 2021","Jun 30, 2022",800000.0,Fortuna Sittard, -,Andreas,Samaris
171,14.0,Tesfaldet Tekie,Central Midfield,"Jun 4, 1997",24,175,right,"Sep 9, 2019","Jun 30, 2022",850000.0,Fortuna Sittard, -,Tesfaldet,Tekie
172,6.0,Deroy Duarte,Central Midfield,"Jul 4, 1999",22,177,right,"Aug 12, 2021","Jun 30, 2024",650000.0,Fortuna Sittard, -,Deroy,Duarte
173,23.0,Ben Rienstra,Central Midfield,"Jun 5, 1990",31,182,right,"Sep 1, 2020","Jun 30, 2023",300000.0,Fortuna Sittard, @BenRienstra,Ben,Rienstra
174,28.0,Ryan Johansson,Central Midfield,"Feb 15, 2001",21,186,both,"Aug 13, 2021","Jun 30, 2022",100000.0,Fortuna Sittard, -,Ryan,Johansson
175,8.0,Zian Flemming,Attacking Midfield,"Aug 1, 1998",23,185,right,"Aug 27, 2020","Jun 30, 2024",1200000.0,Fortuna Sittard, -,Zian,Flemming
176,10.0,Mats Seuntjens,Attacking Midfield,"Apr 17, 1992",29,187,right,"Aug 15, 2020","Jun 30, 2022",1200000.0,Fortuna Sittard, -,Mats,Seuntjens
177,19.0,Arianit Ferati,Attacking Midfield,"Sep 7, 1997",24,168,left,"Jul 29, 2021","Jun 30, 2023",350000.0,Fortuna Sittard, -,Arianit,Ferati
178,29.0,Richie Musaba,Attacking Midfield,"Dec 6, 2000",21,177,right,"Sep 4, 2020","Jun 30, 2022",225000.0,Fortuna Sittard, -,Richie,Musaba
179,7.0,Lisandro Semedo,Right Winger,"Mar 12, 1996",25,175,right,"Jul 1, 2018","Jun 30, 2022",800000.0,Fortuna Sittard, -,Lisandro,Semedo
180,17.0,Jordan Botaka,Right Winger,"Jun 24, 1993",28,184,right,"Jan 28, 2022","Jun 30, 2022",700000.0,Fortuna Sittard, @BotakaJordan,Jordan,Botaka
181,11.0,Paul Gladon,Centre-Forward,"Mar 18, 1992",29,188,right,"Feb 4, 2022","Jun 30, 2022",450000.0,Fortuna Sittard, -,Paul,Gladon
182,9.0,Charlison Benschop,Centre-Forward,"Aug 21, 1989",32,191,right,"Jan 31, 2022","Jun 30, 2023",400000.0,Fortuna Sittard, @cbenschop,Charlison,Benschop
183,24.0,Samy Baghdadi,Centre-Forward,"Jul 11, 1997",24,189,right,"Aug 3, 2021","Jun 30, 2023",150000.0,Fortuna Sittard, -,Samy,Baghdadi
184,77.0,Tijjani Noslin,Centre-Forward,"Jul 7, 1999",22,m,,"Aug 11, 2021","Jun 30, 2024",125000.0,Fortuna Sittard, -,Tijjani,Noslin
185,23,Andries Noppert,Goalkeeper,"Apr 7, 1994",27,203,left,"Jan 22, 2021","Jun 30, 2022",125000.0,Go Ahead Eagles, -,Andries,Noppert
186,-,Nick Hengelman,Goalkeeper,"Nov 25, 1989",32,186,right,"Jan 31, 2022","Jun 30, 2022",75000.0,Go Ahead Eagles, @hengelmannick,Nick,Hengelman
187,16,Sven Jansen,Goalkeeper,"Oct 23, 2004",17,192,right,"Jul 1, 2021",-,50000.0,Go Ahead Eagles, -,Sven,Jansen
188,31,Job Schuurman,Goalkeeper,"Jun 12, 1999",22,190,right,"Jul 1, 2021","Jun 30, 2022",50000.0,Go Ahead Eagles, @Jobschuurman,Job,Schuurman
189,3,Gerrit Nauber,Centre-Back,"Apr 13, 1992",29,186,right,"Jul 5, 2021","Jun 30, 2022",450000.0,Go Ahead Eagles, -,Gerrit,Nauber
190,4,Joris Kramer,Centre-Back,"Aug 2, 1996",25,187,left,"Jul 1, 2021","Jun 30, 2022",400000.0,Go Ahead Eagles, @JorisKramer_,Joris,Kramer
191,26,Justin Bakker,Centre-Back,"Mar 3, 1998",24,189,left,"Sep 10, 2020","Jun 30, 2022",300000.0,Go Ahead Eagles, @JustinBakker,Justin,Bakker
192,5,Bas Kuipers,Left-Back,"Aug 17, 1994",27,180,left,"Jul 6, 2020","Jun 30, 2024",500000.0,Go Ahead Eagles, -,Bas,Kuipers
193,14,Turan Tuzlacik,Left-Back,"Mar 2, 2001",21,176,left,"Aug 27, 2021",-,50000.0,Go Ahead Eagles, -,Turan,Tuzlacik
194,28,Aventis Aventisian,Left-Back,"Aug 17, 2002",19,172,left,"Jan 3, 2022","Jun 30, 2024",50000.0,Go Ahead Eagles, -,Aventis,Aventisian
195,2,Boyd Lucassen,Right-Back,"Jul 1, 1998",23,173,right,"Jul 1, 2019","Jun 30, 2022",450000.0,Go Ahead Eagles, -,Boyd,Lucassen
196,20,Mats Deijl,Right-Back,"Jul 15, 1997",24,181,right,"Jul 1, 2021","Jun 30, 2024",350000.0,Go Ahead Eagles, -,Mats,Deijl
197,15,Cuco Martina,Right-Back,"Sep 25, 1989",32,185,right,"Nov 26, 2021","Jun 30, 2022",300000.0,Go Ahead Eagles, @CucoMartina,Cuco,Martina
198,8,Luuk Brouwers,Defensive Midfield,"May 3, 1998",23,183,right,"Jul 1, 2020","Jun 30, 2023",750000.0,Go Ahead Eagles, -,Luuk,Brouwers
199,6,Jay Idzes,Defensive Midfield,"Jun 2, 2000",21,190,right,"Jul 20, 2020","Jun 30, 2023",375000.0,Go Ahead Eagles, -,Jay,Idzes
200,-,Evert Linthorst,Central Midfield,"Mar 3, 2000",22,185,right,"Jan 30, 2022","Jun 30, 2024",500000.0,Go Ahead Eagles, -,Evert,Linthorst
201,-,Quiermo Dumay,Central Midfield,"Feb 10, 2001",21,181,right,"Aug 1, 2020",-,25000.0,Go Ahead Eagles, -,Quiermo,Dumay
202,10,Philippe Rommens,Attacking Midfield,"Aug 20, 1997",24,175,right,"Jul 1, 2021","Jun 30, 2023",500000.0,Go Ahead Eagles, -,Philippe,Rommens
203,30,Giannis-Fivos Botos,Attacking Midfield,"Dec 20, 2000",21,172,right,"Jan 4, 2021","Jun 30, 2022",400000.0,Go Ahead Eagles, -,Giannis-Fivos,Botos
204,-,Zakaria Eddahchouri,Attacking Midfield,"May 11, 2000",21,187,right,"Jul 1, 2019","Jun 30, 2022",200000.0,Go Ahead Eagles, -,Zakaria,Eddahchouri
205,21,Iñigo Córdoba,Left Winger,"Mar 13, 1997",24,180,left,"Aug 31, 2021","Jun 30, 2022",1500000.0,Go Ahead Eagles, -,Iñigo,Córdoba
206,19,Ogechika Heil,Left Winger,"Nov 27, 2000",21,168,right,"Jul 1, 2021","Jun 30, 2022",250000.0,Go Ahead Eagles, -,Ogechika,Heil
207,17,Frank Ross,Left Winger,"Feb 18, 1998",24,172,both,"Aug 20, 2020","Jun 30, 2022",175000.0,Go Ahead Eagles, -,Frank,Ross
208,11,Ragnar Oratmangoen,Right Winger,"Jan 21, 1998",24,180,right,"Jul 1, 2021","Jun 30, 2023",450000.0,Go Ahead Eagles, -,Ragnar,Oratmangoen
209,7,Martijn Berden,Right Winger,"Jul 29, 1997",24,172,right,"Jul 1, 2019","Jun 30, 2024",250000.0,Go Ahead Eagles, -,Martijn,Berden
210,29,Marc Cardona,Centre-Forward,"Jul 8, 1995",26,183,right,"Jul 30, 2021","Jun 30, 2022",600000.0,Go Ahead Eagles, -,Marc,Cardona
211,9,Isac Lidberg,Centre-Forward,"Sep 8, 1998",23,187,right,"Jul 16, 2021","Jun 30, 2023",200000.0,Go Ahead Eagles, -,Isac,Lidberg
212,27,Jacob Mulenga,Centre-Forward,"Feb 12, 1984",38,185,right,"Oct 8, 2020","Jun 30, 2022",175000.0,Go Ahead Eagles, @JakobMulenga,Jacob,Mulenga
213,18,Sam Crowther,Centre-Forward,"Apr 3, 2000",21,194,right,"Jul 1, 2020","Jun 30, 2022",50000.0,Go Ahead Eagles, -,Sam,Crowther
214,1.0,Janis Blaswich,Goalkeeper,"May 2, 1991",30,193,right,"Jul 1, 2018","Jun 30, 2022",800000.0,Heracles, -,Janis,Blaswich
215,26.0,Koen Bucker,Goalkeeper,"Jun 18, 1996",25,198,right,"Jul 31, 2018","Jun 30, 2023",100000.0,Heracles, @koenbucker,Koen,Bucker
216,28.0,Robin Jalving,Goalkeeper,"Apr 11, 2000",21,190,right,"Jul 1, 2021","Jun 30, 2023",50000.0,Heracles, -,Robin,Jalving
217,21.0,Justin Hoogma,Centre-Back,"Jun 11, 1998",23,190,left,"Jan 24, 2022","Jun 30, 2026",1500000.0,Heracles, -,Justin,Hoogma
218,13.0,Mats Knoester,Centre-Back,"Nov 19, 1998",23,188,left,"Jan 17, 2019","Jun 30, 2022",1000000.0,Heracles, @KnoesterMats,Mats,Knoester
219,5.0,Marco Rente,Centre-Back,"Feb 25, 1997",25,187,right,"Aug 3, 2020","Jun 30, 2023",650000.0,Heracles, -,Marco,Rente
220,4.0,Sven Sonnenberg,Centre-Back,"Jan 19, 1999",23,194,right,"Aug 2, 2021","Jun 30, 2024",275000.0,Heracles, -,Sven,Sonnenberg
221,24.0,Elias Oubella,Centre-Back,"May 24, 2001",20,187,right,"Oct 5, 2020","Jun 30, 2022",75000.0,Heracles, -,Elias,Oubella
222,22.0,Mateo Les,Centre-Back,"Mar 25, 2000",21,189,,"Sep 15, 2020","Jun 30, 2023",50000.0,Heracles, -,Mateo,Les
223,3.0,Giacomo Quagliata,Left-Back,"Feb 19, 2000",22,177,left,"Jan 31, 2020","Jun 30, 2022",700000.0,Heracles, -,Giacomo,Quagliata
224,12.0,Ruben Roosken,Left-Back,"Mar 2, 2000",22,183,left,"Jul 1, 2021","Jun 30, 2024",225000.0,Heracles, -,Ruben,Roosken
225,23.0,Noah Fadiga,Right-Back,"Dec 3, 1999",22,187,both,"Jul 20, 2020","Jun 30, 2023",750000.0,Heracles, @noahfadiga,Noah,Fadiga
226,19.0,Navajo Bakboord,Right-Back,"Jan 29, 1999",23,177,right,"Jul 1, 2019","Jun 30, 2022",350000.0,Heracles, -,Navajo,Bakboord
227,25.0,Robin Polley,Right-Back,"Dec 28, 1998",23,183,right,"Aug 5, 2021","Jun 30, 2024",125000.0,Heracles, @rpolley25,Robin,Polley
228,6.0,Orestis Kiomourtzoglou,Defensive Midfield,"May 7, 1998",23,188,right,"Jul 1, 2019","Jun 30, 2023",900000.0,Heracles, @orestiskio,Orestis,Kiomourtzoglou
229,15.0,Lucas Schoofs,Defensive Midfield,"Jan 3, 1997",25,186,right,"Sep 2, 2019","Jun 30, 2024",650000.0,Heracles, -,Lucas,Schoofs
230,32.0,Sem Scheperman,Defensive Midfield,"Jun 24, 2002",19,188,,"Mar 4, 2022","Jun 30, 2023",650000.0,Heracles, -,Sem,Scheperman
231,14.0,Luca de la Torre,Central Midfield,"May 23, 1998",23,177,right,"Aug 6, 2020","Jun 30, 2022",900000.0,Heracles, @delatorreluca,Luca,de la Torre
232,8.0,Elias Sierra,Central Midfield,"Aug 25, 2001",20,170,right,"Feb 1, 2021","Jun 30, 2024",400000.0,Heracles, -,Elias,Sierra
233,31.0,Rohat Agca,Central Midfield,"Sep 3, 2001",20,182,right,"Sep 1, 2020","Jun 30, 2022",100000.0,Heracles, -,Rohat,Agca
234,10.0,Rai Vloet,Attacking Midfield,"May 8, 1995",26,188,right,"Jul 1, 2020","Jun 30, 2023",1000000.0,Heracles, @RaiVloet,Rai,Vloet
235,27.0,Melih Ibrahimoglu,Attacking Midfield,"Jul 17, 2000",21,175,both,"Jan 29, 2021","Jun 30, 2024",450000.0,Heracles, -,Melih,Ibrahimoglu
236,30.0,Anas Ouahim,Attacking Midfield,"Sep 23, 1997",24,175,right,"Jan 31, 2022","Jun 30, 2024",350000.0,Heracles, @anasouahim,Anas,Ouahim
237,29.0,Emil Hansson,Left Winger,"Jun 15, 1998",23,172,right,"Jan 29, 2022","Jun 30, 2024",700000.0,Heracles, -,Emil,Hansson
238,7.0,Bilal Basacikoglu,Left Winger,"Mar 26, 1995",26,179,right,"Jul 1, 2021","Jun 30, 2023",500000.0,Heracles, @Basacikoglu_,Bilal,Basacikoglu
239,18.0,Ismail Azzaoui,Right Winger,"Jan 6, 1998",24,177,right,"Oct 27, 2020","Jun 30, 2022",650000.0,Heracles, @ismailazzaoui,Ismail,Azzaoui
240,11.0,Nikolai Laursen,Right Winger,"Feb 19, 1998",24,183,right,"Jul 1, 2021","Jun 30, 2024",500000.0,Heracles, @nikolai_laursen,Nikolai,Laursen
241,20.0,Kasper Lunding,Right Winger,"Jul 17, 1999",22,178,left,"Oct 5, 2020","Jun 30, 2023",350000.0,Heracles, -,Kasper,Lunding
242,16.0,Kaj Sierhuis,Centre-Forward,"Apr 27, 1998",23,180,right,"Aug 31, 2021","Jun 30, 2022",2300000.0,Heracles, @KSierhuis9,Kaj,Sierhuis
243,33.0,Samuel Armenteros,Centre-Forward,"May 27, 1990",31,178,left,"Jan 31, 2022","Jun 30, 2022",700000.0,Heracles, @SamArmenteros,Samuel,Armenteros
244,9.0,Sinan Bakis,Centre-Forward,"Apr 22, 1994",27,188,right,"Jul 21, 2020","Jun 30, 2023",600000.0,Heracles, -,Sinan,Bakis
245,17.0,Adrián Szőke,Centre-Forward,"Jul 1, 1998",23,186,right,"Jul 7, 2019","Jun 30, 2022",350000.0,Heracles, -,Adrián,Szőke
246,1.0,Mattijs Branderhorst,Goalkeeper,"Dec 31, 1993",28,192,right,"Jul 1, 2019","Jun 30, 2023",450000.0,NEC, -,Mattijs,Branderhorst
247,27.0,Danny Vukovic,Goalkeeper,"Mar 27, 1985",36,187,right,"Jul 1, 2021","Jun 30, 2023",300000.0,NEC, @vuka20,Danny,Vukovic
248,31.0,Robin Roefs,Goalkeeper,"Jan 17, 2003",19,193,left,"Jul 1, 2021","Jun 30, 2024",75000.0,NEC, -,Robin,Roefs
249,26.0,Cas Odenthal,Centre-Back,"Sep 26, 2000",21,190,right,"Jul 1, 2019","Jun 30, 2022",550000.0,NEC, -,Cas,Odenthal
250,5.0,Rodrigo Guth,Centre-Back,"Nov 10, 2000",21,191,right,"Jul 20, 2021","Jun 30, 2022",500000.0,NEC, -,Rodrigo,Guth
251,4.0,Iván Márquez,Centre-Back,"Jun 9, 1994",27,191,right,"Jul 19, 2021","Jun 30, 2023",450000.0,NEC, @IvaanMaarqueez,Iván,Márquez
252,3.0,Rens van Eijden,Centre-Back,"Mar 3, 1988",34,188,right,"Aug 3, 2018","Jun 30, 2022",200000.0,NEC, @Rens_Van_Eijden,Rens,van Eijden
253,16.0,Souffian El Karouani,Left-Back,"Oct 19, 2000",21,178,right,"Jul 1, 2019","Jun 30, 2023",800000.0,NEC, -,Souffian,El Karouani
254,24.0,Calvin Verdonk,Left-Back,"Apr 26, 1997",24,174,left,"Aug 30, 2021","Jun 30, 2022",700000.0,NEC, -,Calvin,Verdonk
255,28.0,Bart van Rooij,Right-Back,"May 26, 2001",20,174,right,"Jul 1, 2019","Jun 30, 2023",600000.0,NEC, -,Bart,van Rooij
256,2.0,Ilias Bronkhorst,Right-Back,"May 10, 1997",24,185,right,"Jul 1, 2021","Jun 30, 2023",350000.0,NEC, -,Ilias,Bronkhorst
257,71.0,Dirk Proper,Defensive Midfield,"Feb 24, 2002",20,167,right,"Jan 6, 2020","Jun 30, 2023",900000.0,NEC, -,Dirk,Proper
258,20.0,Lasse Schöne,Defensive Midfield,"May 27, 1986",35,178,right,"Jul 1, 2021","Jun 30, 2023",350000.0,NEC, @LasseSchone_,Lasse,Schöne
259,15.0,Javier Vet,Defensive Midfield,"Sep 9, 1993",28,194,right,"Sep 29, 2020","Jun 30, 2022",325000.0,NEC, -,Javier,Vet
260,8.0,Édgar Barreto,Central Midfield,"Jul 15, 1984",37,180,right,"Jul 15, 2020","Jun 30, 2022",250000.0,NEC, -,Édgar,Barreto
261,18.0,Mathias De Wolf,Central Midfield,"Feb 21, 2002",20,187,left,"Jul 9, 2020","Jun 30, 2023",125000.0,NEC, -,Mathias,De Wolf
262,6.0,Jordy Bruijn,Attacking Midfield,"Jul 23, 1996",25,171,right,"Jul 1, 2020","Jun 30, 2023",800000.0,NEC, -,Jordy,Bruijn
263,11.0,Magnus Mattsson,Left Winger,"Feb 25, 1999",23,174,both,"Jul 1, 2021","Jun 30, 2024",700000.0,NEC, -,Magnus,Mattsson
264,14.0,Mikkel Duelund,Left Winger,"Jun 29, 1997",24,178,both,"Jul 1, 2021","Jun 30, 2022",700000.0,NEC, @MikkelDuelund22,Mikkel,Duelund
265,22.0,Joep van der Sluijs,Left Winger,"Dec 1, 2001",20,180,left,"Jul 1, 2020","Jun 30, 2023",200000.0,NEC, -,Joep,van der Sluijs
266,7.0,Elayis Tavsan,Right Winger,"Apr 30, 2001",20,183,left,"Jul 1, 2020","Jun 30, 2023",800000.0,NEC, @ElayisTavsan,Elayis,Tavsan
267,10.0,Jonathan Okita,Right Winger,"Oct 5, 1996",25,181,right,"Aug 24, 2018","Jun 30, 2022",700000.0,NEC, @Okitajr10,Jonathan,Okita
268,9.0,Ali Akman,Centre-Forward,"Apr 18, 2002",19,173,right,"Aug 4, 2021","Jun 30, 2022",1500000.0,NEC, @AliAkman_18,Ali,Akman
269,12.0,Wilfried Bony,Centre-Forward,"Dec 10, 1988",33,183,right,"Jan 26, 2022","Jun 30, 2022",700000.0,NEC, @wilfriedbony,Wilfried,Bony
270,19.0,Pedro Ruiz,Centre-Forward,"Mar 30, 2000",21,198,left,"Aug 27, 2021","Jun 30, 2023",250000.0,NEC, -,Pedro,Ruiz
271,1,Konstantinos Lamprou,Goalkeeper,"Sep 18, 1991",30,178,left,"Jul 1, 2021","Jun 30, 2023",550000.0,PEC Zwolle, @koslamprou,Konstantinos,Lamprou
272,16,Jasper Schendelaar,Goalkeeper,"Sep 2, 2000",21,186,right,"Jul 1, 2021","Jun 30, 2023",350000.0,PEC Zwolle, -,Jasper,Schendelaar
273,40,Mike Hauptmeijer,Goalkeeper,"Mar 18, 1997",24,190,left,"Jul 1, 2016","Jun 30, 2023",100000.0,PEC Zwolle, -,Mike,Hauptmeijer
274,4,Yuta Nakayama,Centre-Back,"Feb 16, 1997",25,181,left,"Jan 15, 2019","Jun 30, 2022",650000.0,PEC Zwolle, @Nkymyt,Yuta,Nakayama
275,15,Sam Kersten,Centre-Back,"Jan 30, 1998",24,191,right,"Jul 10, 2019","Jun 30, 2024",650000.0,PEC Zwolle, @SamKersten1,Sam,Kersten
276,3,Siemen Voet,Centre-Back,"Feb 3, 2000",22,190,left,"Jul 1, 2021","Jun 30, 2023",400000.0,PEC Zwolle, @siemen_voet,Siemen,Voet
277,30,Maikel van der Werff,Centre-Back,"Apr 22, 1989",32,186,right,"Jan 21, 2022","Jun 30, 2022",350000.0,PEC Zwolle, -,Maikel,van der Werff
278,2,Bram van Polen,Centre-Back,"Oct 11, 1985",36,179,right,"Jul 1, 2007","Jun 30, 2022",200000.0,PEC Zwolle, -,Bram,van Polen
279,33,Rav van den Berg,Centre-Back,"Jul 7, 2004",17,190,left,"Jan 1, 2021","Jun 30, 2024",200000.0,PEC Zwolle, -,Rav,van den Berg
280,22,Daijiro Chirino,Centre-Back,"Jan 24, 2002",20,m,,"Jul 1, 2021","Jun 30, 2022",25000.0,PEC Zwolle, -,Daijiro,Chirino
281,5,Kenneth Paal,Left-Back,"Jun 24, 1997",24,174,left,"Jul 1, 2019","Jun 30, 2022",750000.0,PEC Zwolle, @Kennethpaal1,Kenneth,Paal
282,34,Mees de Wit,Left-Back,"Apr 17, 1998",23,181,left,"Jul 6, 2021","Jun 30, 2023",550000.0,PEC Zwolle, @Mees98_,Mees,de Wit
283,31,Sai van Wermeskerken,Right-Back,"Jun 28, 1994",27,178,right,"Jul 9, 2019","Jun 30, 2023",900000.0,PEC Zwolle, @saivw31,Sai,van Wermeskerken
284,21,Djavan Anderson,Right-Back,"Apr 21, 1995",26,178,right,"Jan 31, 2022","Jun 30, 2022",400000.0,PEC Zwolle, @DjavanAnderson,Djavan,Anderson
285,13,Rico Strieder,Defensive Midfield,"Jul 6, 1992",29,174,right,"Jul 1, 2020","Jun 30, 2022",500000.0,PEC Zwolle, -,Rico,Strieder
286,20,Thomas van den Belt,Defensive Midfield,"Jun 18, 2001",20,181,right,"Jul 1, 2020","Jun 30, 2022",400000.0,PEC Zwolle, -,Thomas,van den Belt
287,18,Gabi Caschili,Defensive Midfield,"Jul 14, 2003",18,m,right,"Dec 1, 2021","Jun 30, 2022",50000.0,PEC Zwolle, @GabiCaschili,Gabi,Caschili
288,10,Pelle Clement,Central Midfield,"May 19, 1996",25,177,right,"Jan 3, 2019","Jun 30, 2022",700000.0,PEC Zwolle, @PelleC_,Pelle,Clement
289,6,Mustafa Saymak,Central Midfield,"Feb 11, 1993",29,169,right,"Aug 23, 2019","Jun 30, 2022",550000.0,PEC Zwolle, @MustafaSaymak,Mustafa,Saymak
290,8,Dean Huiberts,Central Midfield,"May 4, 2000",21,186,right,"Jul 1, 2019","Jun 30, 2025",500000.0,PEC Zwolle, -,Dean,Huiberts
291,37,Ryan Koolwijk,Central Midfield,"Aug 8, 1985",36,193,left,"Sep 15, 2021","Jun 30, 2022",200000.0,PEC Zwolle, @RyanKoolwijk,Ryan,Koolwijk
292,-,Samir Lagsir,Attacking Midfield,"May 20, 2003",18,180,right,"Jan 1, 2021","Jun 30, 2024",150000.0,PEC Zwolle, -,Samir,Lagsir
293,11,Luka Adzic,Left Winger,"Sep 17, 1998",23,184,right,"Aug 31, 2021","Jun 30, 2022",650000.0,PEC Zwolle, -,Luka,Adzic
294,7,Gervane Kastaneer,Left Winger,"Jun 9, 1996",25,189,right,"Jul 22, 2021","Jun 30, 2023",250000.0,PEC Zwolle, -,Gervane,Kastaneer
295,45,Chardi Landu,Left Winger,"Jul 18, 2000",21,175,right,"Jul 1, 2021","Jun 30, 2024",100000.0,PEC Zwolle, -,Chardi,Landu
296,23,Eliano Reijnders,Right Winger,"Oct 23, 2000",21,168,right,"Jul 1, 2020","Jun 30, 2025",450000.0,PEC Zwolle,-,Eliano,Reijnders
297,47,Jarno Westerman,Right Winger,"Jun 8, 2002",19,183,right,"Jul 1, 2020","Jun 30, 2022",200000.0,PEC Zwolle, -,Jarno,Westerman
298,9,Slobodan Tedic,Centre-Forward,"Apr 13, 2000",21,190,both,"Sep 1, 2020","Jun 30, 2022",1000000.0,PEC Zwolle, -,Slobodan,Tedic
299,19,Daishawn Redan,Centre-Forward,"Feb 2, 2001",21,176,right,"Aug 31, 2021","Jun 30, 2022",1000000.0,PEC Zwolle, -,Daishawn,Redan
300,22,Max de Waal,Centre-Forward,"Jan 10, 2002",20,184,right,"Jan 4, 2022","Jun 30, 2022",850000.0,PEC Zwolle, -,Max,de Waal
301,29,Oussama Darfalou,Centre-Forward,"Sep 29, 1993",28,187,right,"Jan 3, 2022","Jun 30, 2022",800000.0,PEC Zwolle, -,Oussama,Darfalou
302,16.0,Joël Drommel,Goalkeeper,"Nov 16, 1996",25,192,right,"Jul 1, 2021","Jun 30, 2026",4500000.0,PSV, -,Joël,Drommel
303,38.0,Yvon Mvogo,Goalkeeper,"Jun 6, 1994",27,189,right,"Aug 25, 2020","Jun 30, 2022",2500000.0,PSV, @YMvogo,Yvon,Mvogo
304,13.0,Vincent Müller,Goalkeeper,"Aug 23, 2000",21,190,right,"Sep 23, 2020","Jun 30, 2023",300000.0,PSV, -,Vincent,Müller
305,21.0,Maxime Delanghe,Goalkeeper,"May 23, 2001",20,189,right,"Sep 25, 2020","Jun 30, 2023",300000.0,PSV, @MaximeDelanghe,Maxime,Delanghe
306,18.0,Olivier Boscagli,Centre-Back,"Nov 18, 1997",24,181,left,"Jul 17, 2019","Jun 30, 2025",7500000.0,PSV, @OlivierBoscagli,Olivier,Boscagli
307,3.0,Jordan Teze,Centre-Back,"Sep 30, 1999",22,183,right,"Dec 21, 2019","Jun 30, 2024",5000000.0,PSV, -,Jordan,Teze
308,5.0,André Ramalho,Centre-Back,"Feb 16, 1992",30,182,both,"Jul 1, 2021","Jun 30, 2024",3500000.0,PSV, -,André,Ramalho
309,4.0,Armando Obispo,Centre-Back,"Mar 5, 1999",23,185,left,"Jul 1, 2017","Jun 30, 2025",3000000.0,PSV, @ArmandoObispo,Armando,Obispo
310,31.0,Philipp Max,Left-Back,"Sep 30, 1993",28,177,left,"Sep 2, 2020","Jun 30, 2024",8000000.0,PSV, -,Philipp,Max
311,17.0,Mauro Júnior,Left-Back,"May 6, 1999",22,171,left,"Jan 1, 2018","Jun 30, 2025",3000000.0,PSV, -,Mauro,Júnior
312,29.0,Phillipp Mwene,Right-Back,"Jan 29, 1994",28,170,right,"Jul 1, 2021","Jun 30, 2024",3000000.0,PSV, -,Phillipp,Mwene
313,6.0,Ibrahim Sangaré,Defensive Midfield,"Dec 2, 1997",24,191,right,"Sep 28, 2020","Jun 30, 2025",14000000.0,PSV, -,Ibrahim,Sangaré
314,23.0,Joey Veerman,Defensive Midfield,"Nov 19, 1998",23,185,right,"Jan 4, 2022","Jun 30, 2026",6000000.0,PSV, @JoeyVeerman,Joey,Veerman
315,15.0,Érick Gutiérrez,Central Midfield,"Jun 15, 1995",26,177,left,"Aug 30, 2018","Jun 30, 2023",3500000.0,PSV, @GutiGalaviz,Érick,Gutiérrez
316,30.0,Ryan Thomas,Central Midfield,"Dec 20, 1994",27,174,right,"Aug 10, 2018","Jun 30, 2022",3000000.0,PSV, -,Ryan,Thomas
317,8.0,Marco van Ginkel,Central Midfield,"Dec 1, 1992",29,186,right,"Jul 1, 2021","Jun 30, 2023",1750000.0,PSV, -,Marco,van Ginkel
